7:
 num     #instances         #bytes  class name (module)
  90:          1105          26520  org.antlr.v4.runtime.atn.SetTransition
  91:           502          25080  [Ljava.lang.invoke.LambdaForm$Name; (java.base@21.0.12)
  92:          1540          24640  java.util.concurrent.locks.ReentrantLock (java.base@21.0.12)
  93:          1008          24192  java.util.LinkedHashMap$LinkedKeySet (java.base@21.0.12)
  94:           121          24144  [Ljava.lang.invoke.MethodHandle; (java.base@21.0.12)
  95:           497          23856  java.lang.invoke.LambdaForm (java.base@21.0.12)
  96:           288          23808  [Ljava.util.WeakHashMap$Entry; (java.base@21.0.12)
  97:           976          23424  org.springframework.util.ConcurrentReferenceHashMap$ReferenceManager
  98:           929          22416  [Ljava.lang.reflect.Type; (java.base@21.0.12)
  99:          1321          21136  java.util.LinkedHashSet (java.base@21.0.12)
 100:           307          19648  org.springframework.core.MethodParameter
 101:          1208          19328  java.util.concurrent.atomic.AtomicInteger (java.base@21.0.12)
 102:           398          19104  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@21.0.12)
 103:           163          19096  [J (java.base@21.0.12)
 104:            81          18792  org.h2.command.query.Select
 105:          1166          18656  java.util.HashSet (java.base@21.0.12)
 106:           450          18000  org.antlr.v4.runtime.atn.RuleStartState
 107:           450          18000  org.antlr.v4.runtime.atn.RuleStopState
 108:           433          17320  java.math.BigInteger (java.base@21.0.12)
 109:           541          17312  org.antlr.v4.runtime.atn.RuleTransition
 110:           268          17152  java.security.Provider$Service (java.base@21.0.12)
 111:           707          16968  java.lang.invoke.LambdaForm$NamedFunction (java.base@21.0.12)
 112:           706          16944  java.security.Provider$ServiceKey (java.base@21.0.12)
 113:           696          16704  java.util.ImmutableCollections$Set12 (java.base@21.0.12)
 114:           188          16544  jdk.jfr.internal.PlatformEventType (jdk.jfr@21.0.12)
 115:           340          16320  org.h2.expression.ExpressionColumn
 116:           404          16160  [Ljava.util.HashSet; (java.base@21.0.12)
 117:           202          16160  java.net.URI (java.base@21.0.12)
 118:           404          16160  jdk.jfr.internal.Control (jdk.jfr@21.0.12)
 119:           666          15984  org.springframework.beans.factory.annotation.InjectionMetadata
 120:           661          15864  java.util.jar.Attributes$Name (java.base@21.0.12)
